Rank,name,pop2021,pop2020,GrowthRate,area,Density
1,China,1444216.107,1439323.776,1.0034,9706961,147.7068
2,India,1393409.038,1380004.385,1.0097,3287590,415.629
3,United States,332915.073,331002.651,1.0058,9372610,35.1092
4,Indonesia,276361.783,273523.615,1.0104,1904569,142.0928
5,Pakistan,225199.937,220892.34,1.0195,881912,245.5634
6,Brazil,213993.437,212559.417,1.0067,8515767,24.7834
7,Nigeria,211400.708,206139.589,1.0255,923768,217.5477
8,Bangladesh,166303.498,164689.383,1.0098,147570,1104.8734
9,Russia,145912.025,145934.462,0.9998,17098242,8.5314
10,Mexico,130262.216,128932.753,1.0103,1964375,64.9446
11,Japan,126050.804,126476.461,0.9966,377930,335.6714
12,Ethiopia,117876.227,114963.588,1.0253,1104300,101.493
13,Philippines,111046.913,109581.078,1.0134,342353,315.8045
14,Egypt,104258.327,102334.404,1.0188,1002450,100.1427
15,Vietnam,98168.833,97338.579,1.0085,331212,291.2398
16,DR Congo,92377.993,89561.403,1.0314,2344858,37.0131
18,Turkey,85042.738,84339.067,1.0083,783562,106.4748
19,Iran,85028.759,83992.949,1.0123,1648195,50.3059
17,Germany,83900.473,83783.942,1.0014,357114,233.8666
20,Thailand,69950.85,69799.978,1.0022,513120,135.6906
21,United Kingdom,68207.116,67886.011,1.0047,242900,278.0164
22,France,65426.179,65273.511,1.0023,551695,118.0539
25,Tanzania,61498.437,59734.218,1.0295,945087,61.3758
23,Italy,60367.477,60461.826,0.9984,301336,200.9387
24,South Africa,60041.994,59308.69,1.0124,1221037,47.9578
27,Kenya,54985.698,53771.296,1.0226,580367,90.5875
26,Myanmar,54806.012,54409.8,1.0073,676578,79.8805
28,South Korea,51305.186,51269.185,1.0007,100210,511.1796
29,Colombia,51265.844,50882.891,1.0075,1141748,44.0898
32,Uganda,47123.531,45741.007,1.0302,241550,183.273
30,Spain,46745.216,46754.778,0.9998,505992,92.3666
31,Argentina,45605.826,45195.774,1.0091,2780400,16.1058
35,Sudan,44909.353,43849.26,1.0242,1886068,22.6997
34,Algeria,44616.624,43851.044,1.0175,2381741,18.0763
33,Ukraine,43466.819,43733.762,0.9939,603500,72.8975
36,Iraq,41179.35,40222.493,1.0238,438317,89.6835
37,Afghanistan,39835.428,38928.346,1.0233,652230,58.3257
39,Canada,38067.903,37742.154,1.0086,9984670,3.7468
38,Poland,37797.005,37846.611,0.9987,312679,121.1715
40,Morocco,37344.795,36910.56,1.0118,446550,81.6745
41,Saudi Arabia,35340.683,34813.871,1.0151,2149690,15.9411
42,Uzbekistan,33935.763,33469.203,1.0139,447400,73.7186
45,Angola,33933.61,32866.272,1.0325,1246700,25.5276
43,Peru,33359.418,32971.854,1.0118,1285216,25.2957
44,Malaysia,32776.194,32365.999,1.0127,330803,96.5825
47,Mozambique,32163.047,31255.435,1.029,801590,37.8823
46,Ghana,31732.129,31072.94,1.0212,238533,127.5205
48,Yemen,30490.64,29825.964,1.0223,527968,55.2343
49,Nepal,29674.92,29136.808,1.0185,147181,194.3777
50,Venezuela,28704.954,28435.94,1.0095,916445,31.1157
51,Madagascar,28427.328,27691.018,1.0266,587041,45.9411
52,Cameroon,27224.265,26545.863,1.0256,475442,54.4259
53,Ivory Coast,27053.629,26378.274,1.0256,322463,79.7504
54,North Korea,25887.041,25778.816,1.0042,120538,212.93
55,Australia,25788.215,25499.884,1.0113,7692024,3.2765
57,Niger,25130.817,24206.644,1.0382,1267000,18.3984
56,Taiwan,23855.01,23816.775,1.0016,36193,656.8639
58,Sri Lanka,21497.31,21413.249,1.0039,65610,325.0074
59,Burkina Faso,21497.096,20903.273,1.0284,272967,74.4463
60,Mali,20855.735,20250.833,1.0299,1240192,15.8508
63,Malawi,19647.684,19129.952,1.0271,118484,157.2258
62,Chile,19212.361,19116.201,1.005,756102,25.0655
61,Romania,19127.774,19237.691,0.9943,238391,81.2302
64,Kazakhstan,18994.962,18776.707,1.0116,2724900,6.8081
65,Zambia,18920.651,18383.955,1.0292,752612,23.7321
69,Syria,18275.702,17500.658,1.0443,185180,92.1813
66,Guatemala,18249.86,17915.568,1.0187,108889,161.4623
67,Ecuador,17888.475,17643.054,1.0139,276841,62.7568
71,Senegal,17196.301,16743.927,1.027,196722,82.8396
68,Netherlands,17173.099,17134.872,1.0022,41850,408.5336
70,Cambodia,16946.438,16718.965,1.0136,181035,91.0683
72,Chad,16914.985,16425.864,1.0298,1284000,12.4197
73,Somalia,16359.504,15893.222,1.0293,637657,24.2182
74,Zimbabwe,15092.171,14862.924,1.0154,390757,37.4797
75,Guinea,13497.244,13132.795,1.0278,245857,51.9458
76,Rwanda,13276.513,12952.218,1.025,26338,479.4195
77,Benin,12451.04,12123.2,1.027,112622,104.7855
80,Burundi,12255.433,11890.784,1.0307,27834,414.2624
78,Tunisia,11935.766,11818.619,1.0099,163610,71.4792
81,Bolivia,11832.94,11673.021,1.0137,1098581,10.48
79,Belgium,11632.326,11589.623,1.0037,30528,377.9916
83,Haiti,11541.685,11402.528,1.0122,27750,405.8766
84,South Sudan,11381.378,11193.725,1.0168,619745,17.8495
82,Cuba,11317.505,11326.616,0.9992,109884,103.1404
85,Dominican Republic,10953.703,10847.91,1.0098,48671,220.6439
86,Czech Republic,10724.555,10708.981,1.0015,78865,135.5381
87,Greece,10370.744,10423.054,0.995,131990,79.3504
89,Jordan,10269.021,10203.134,1.0065,89342,113.0677
90,Azerbaijan,10223.342,10139.177,1.0083,86600,116.0245
88,Portugal,10167.925,10196.709,0.9972,92090,111.0456
91,Sweden,10160.169,10099.265,1.006,450295,22.2885
93,Honduras,10062.991,9904.607,1.016,112492,86.6383
92,United Arab Emirates,9991.089,9890.402,1.0102,83600,116.8724
96,Tajikistan,9749.627,9537.645,1.0222,143100,65.1364
94,Hungary,9634.164,9660.351,0.9973,93028,104.105
95,Belarus,9442.862,9449.323,0.9993,207600,45.5318
98,Papua New Guinea,9119.01,8947.024,1.0192,462840,18.9614
97,Austria,9043.07,9006.398,1.0041,83871,106.7723
101,Israel,8789.774,8655.535,1.0155,20770,410.177
100,Switzerland,8715.494,8654.622,1.007,41284,208.104
99,Serbia,8697.55,8737.371,0.9954,88361,99.2772
102,Togo,8478.25,8278.724,1.0241,56785,142.3328
103,Sierra Leone,8141.343,7976.983,1.0206,71740,108.9102
104,Hong Kong,7552.81,7496.981,1.0074,1104,6735.6467
105,Laos,7379.358,7275.56,1.0143,236800,30.2764
106,Paraguay,7219.638,7132.538,1.0122,406752,17.3192
109,Libya,6958.532,6871.292,1.0127,1759540,3.8518
107,Bulgaria,6896.663,6948.445,0.9925,110879,63.133
108,Lebanon,6769.146,6825.445,0.9918,10452,655.9236
110,Nicaragua,6702.385,6624.554,1.0117,130373,50.206
112,Kyrgyzstan,6628.356,6524.195,1.016,199951,32.0871
111,El Salvador,6518.499,6486.205,1.005,21041,306.7132
113,Turkmenistan,6117.924,6031.2,1.0144,488100,12.1739
114,Singapore,5896.686,5850.342,1.0079,710,8175.1225
115,Denmark,5813.298,5792.202,1.0036,43094,133.9369
118,Republic of the Congo,5657.013,5518.087,1.0252,342000,15.7325
116,Finland,5548.36,5540.72,1.0014,338424,16.3468
119,Norway,5465.63,5421.241,1.0082,323802,16.6116
117,Slovakia,5460.721,5459.642,1.0002,49037,111.2836
122,Oman,5223.375,5106.626,1.0229,309500,16.0743
121,Palestine,5222.748,5101.414,1.0238,6220,800.8714
123,Liberia,5180.203,5057.681,1.0242,111369,44.3335
120,Costa Rica,5139.052,5094.118,1.0088,51100,98.7781
124,Ireland,4982.907,4937.786,1.0091,70273,69.479
126,Central African Republic,4919.981,4829.767,1.0187,622984,7.6169
125,New Zealand,4860.643,4822.233,1.008,270467,17.6845
127,Mauritania,4775.119,4649.658,1.027,1030700,4.3909
128,Panama,4381.579,4314.767,1.0155,75417,56.3061
129,Kuwait,4328.55,4270.571,1.0136,17818,236.1142
130,Croatia,4081.651,4105.267,0.9942,56594,72.9813
131,Moldova,4024.019,4033.963,0.9975,33846,119.4606
132,Georgia,3979.765,3989.167,0.9976,69700,57.3424
133,Eritrea,3601.467,3546.421,1.0155,117600,29.7374
134,Uruguay,3485.151,3473.73,1.0033,181034,19.122
136,Mongolia,3329.289,3278.29,1.0156,1564110,2.062
135,Bosnia and Herzegovina,3263.466,3280.819,0.9947,51209,64.4613
138,Jamaica,2973.463,2961.167,1.0042,10991,268.2448
137,Armenia,2968.127,2963.243,1.0016,29743,99.4429
141,Qatar,2930.528,2881.053,1.0172,11586,244.4387
140,Albania,2872.933,2877.797,0.9983,28748,100.2128
139,Puerto Rico,2828.255,2860.853,0.9886,8870,330.7112
142,Lithuania,2689.862,2722.289,0.9881,65300,42.2608
143,Namibia,2587.344,2540.905,1.0183,825615,3.0214
144,Gambia,2486.945,2416.668,1.0291,10689,219.6376
145,Botswana,2397.241,2351.627,1.0194,582000,3.9582
146,Gabon,2278.825,2225.734,1.0239,267668,8.1167
147,Lesotho,2159.079,2142.249,1.0079,30355,70.0138
148,North Macedonia,2082.658,2083.374,0.9997,25713,81.0275
149,Slovenia,2078.724,2078.938,0.9999,20273,102.5331
150,Guinea-Bissau,2015.494,1968.001,1.0241,36125,53.1743
151,Latvia,1866.942,1886.198,0.9898,64559,29.5349
152,Bahrain,1748.296,1701.575,1.0275,765,2145.3229
154,Equatorial Guinea,1449.896,1402.985,1.0334,28051,48.34
153,Trinidad and Tobago,1403.375,1399.488,1.0028,5130,271.9246
156,Timor-Leste,1343.873,1318.445,1.0193,14874,86.9382
155,Estonia,1325.185,1326.535,0.999,45227,29.311
157,Mauritius,1273.433,1271.768,1.0013,2040,622.3863
158,Cyprus,1215.584,1207.359,1.0068,9251,129.5617
159,Eswatini,1172.362,1160.164,1.0105,17364,66.1213
160,Djibouti,1002.187,988,1.0144,23200,41.9638
161,Fiji,902.906,896.445,1.0072,18272,48.7058
162,Reunion,901.686,895.312,1.0071,2511,354.0131
163,Comoros,888.451,869.601,1.0217,1862,456.9742
164,Guyana,790.326,786.552,1.0048,214969,3.6413
165,Bhutan,779.898,771.608,1.0107,38394,19.8753
166,Solomon Islands,703.996,686.884,1.0249,28896,23.1805
167,Macau,658.394,649.335,1.014,30,21348.1667
169,Luxembourg,634.814,625.978,1.0141,2586,238.1009
168,Montenegro,628.053,628.066,1,13812,45.4668
170,Western Sahara,611.875,597.339,1.0243,266000,2.1897
171,Suriname,591.8,586.632,1.0088,163820,3.5488
172,Cape Verde,561.898,555.987,1.0106,4033,136.3588
173,Maldives,543.617,540.544,1.0057,300,1769.8433
174,Malta,442.784,441.543,1.0028,316,1393.5823
175,Brunei,441.532,437.479,1.0093,5765,75.1578
177,Belize,404.914,397.628,1.0183,22966,16.997
176,Guadeloupe,400.02,400.124,0.9997,1628,245.7346
178,Bahamas,396.913,393.244,1.0093,13943,27.9339
179,Martinique,374.745,375.265,0.9986,1128,332.9379
180,Iceland,343.353,341.243,1.0062,103000,3.2916
181,Vanuatu,314.464,307.145,1.0238,12189,24.6027
182,French Guiana,306.448,298.682,1.026,83534,3.4816
184,New Caledonia,288.218,285.498,1.0095,18575,15.2221
183,Barbados,287.711,287.375,1.0012,430,667.5
185,French Polynesia,282.53,280.908,1.0058,4167,67.0235
186,Mayotte,279.515,272.815,1.0246,374,711.631
187,Sao Tome and Principe,223.368,219.159,1.0192,964,223.0871
188,Samoa,200.149,198.414,1.0087,2842,69.3515
189,Saint Lucia,184.4,183.627,1.0042,616,296.737
190,Guam,170.179,168.775,1.0083,549,304.725
191,Curacao,164.798,164.093,1.0043,444,368.0721
192,Kiribati,121.392,119.449,1.0163,811,145.0136
193,Micronesia,116.254,115.023,1.0107,702,162.1296
194,Grenada,113.021,112.523,1.0044,344,325.5901
195,Saint Vincent and the Grenadines,111.263,110.94,1.0029,389,284.2905
196,Aruba,107.204,106.766,1.0041,180,590.6333
198,Tonga,106.76,105.695,1.0101,747,139.8849
197,United States Virgin Islands,104.226,104.425,0.9981,347,301.3775
199,Seychelles,98.908,98.347,1.0057,452,216.2367
200,Antigua and Barbuda,98.731,97.929,1.0082,442,219.724
201,Isle of Man,85.41,85.033,1.0044,572,147.8741
202,Andorra,77.355,77.265,1.0012,468,164.8333
203,Dominica,72.167,71.986,1.0025,751,95.6165
204,Cayman Islands,66.497,65.722,1.0118,264,246.0152
205,Bermuda,62.09,62.278,0.997,54,1157.5185
206,Marshall Islands,59.61,59.19,1.0071,181,324.8122
207,Northern Mariana Islands,57.917,57.559,1.0062,464,123.3103
208,Greenland,56.877,56.77,1.0019,2166086,0.0262
209,American Samoa,55.1,55.191,0.9984,199,277.9497
210,Saint Kitts and Nevis,53.544,53.199,1.0065,261,202.387
211,Faroe Islands,49.049,48.863,1.0038,1393,34.9447
212,Sint Maarten,43.412,42.876,1.0125,34,1246.7059
213,Monaco,39.511,39.242,1.0069,2,19482
216,Saint Martin,39.234,38.666,1.0147,53,717.0189
214,Turks and Caicos Islands,39.231,38.717,1.0133,948,40.2859
215,Liechtenstein,38.25,38.128,1.0032,160,237.6188
217,San Marino,34.017,33.931,1.0025,61,555.082
218,Gibraltar,33.698,33.691,1.0002,6,5616.8333
219,British Virgin Islands,30.421,30.231,1.0063,151,198.8742
220,Palau,18.169,18.094,1.0041,459,39.2331
221,Cook Islands,17.565,17.564,1.0001,236,74.3559
222,Anguilla,15.117,15.003,1.0076,91,163.3956
223,Tuvalu,11.931,11.792,1.0118,26,447.9231
224,Wallis and Futuna,11.094,11.239,0.9871,142,80.507
225,Nauru,10.876,10.824,1.0048,21,512.1905
226,Saint Barthelemy,9.907,9.877,1.003,21,468.9048
227,Saint Pierre and Miquelon,5.766,5.794,0.9952,242,24.0579
228,Montserrat,4.977,4.992,0.997,102,48.9118
229,Falkland Islands,3.533,3.48,1.0152,12173,0.2774
230,Niue,1.619,1.626,0.9957,260,6.2115
231,Tokelau,1.373,1.357,1.0118,12,111.6667
232,Vatican City,0.8,0.801,0.9988,1,799
